,RUB
2020-01-21,0.0162020632279534
2020-01-22,0.0161353421008823
2020-01-23,0.0161155792276964
2020-01-24,0.0160824915544757
2020-01-27,0.0158802227023433
2020-01-28,0.0160333333333333
2020-01-29,0.0159569483646023
2020-01-30,0.0157574605809128
2020-01-31,0.0156729577464788
2020-02-03,0.0156847693070944
2020-02-04,0.0158936117530538
2020-02-05,0.0158984155801287
2020-02-06,0.0158130169714944
2020-02-07,0.0156007568279039
2020-02-10,0.0155807996326543
2020-02-11,0.0157973788838168
2020-02-12,0.0158187786833036
2020-02-13,0.0157508511296812
2020-02-14,0.0157167379879269
2020-02-17,0.0157580794240217
2020-02-18,0.0156469949077227
2020-02-19,0.0157378217693466
2020-02-20,0.0155952192137759
2020-02-21,0.0156239589902812
2020-02-26,0.0152910499444346
2020-02-27,0.0151828803167093
2020-02-28,0.0149083909339334
2020-03-02,0.0156798053293499
2020-03-03,0.0151913206759858
2020-03-04,0.0150896422328773
2020-03-05,0.0147819093545234
2020-03-06,0.0146163732394366
2020-03-09,0.0133286582440428
2020-03-10,0.0139348607582802
2020-03-11,0.0137955002393489
2020-03-12,0.0134866362087903
2020-03-13,0.0136678484554603
2020-03-16,0.013478957470772
2020-03-17,0.0132565409392361
2020-03-18,0.0121675667140375
2020-03-19,0.0125951155801035
2020-03-20,0.0125701270189744
2020-03-25,0.0128128181108508
2020-03-26,0.0128730168615422
2020-03-27,0.0126631216134391
2020-03-30,0.0125216770851106
2020-04-01,0.0126929907483457
2020-04-02,0.0128386897404202
2020-04-03,0.0130337390232629
2020-04-06,0.0131617633482074
2020-04-07,0.0132728488220197
2020-04-08,0.0132438459177409
2020-04-13,0.0135735546038543
2020-04-14,0.0136346870229007
2020-04-15,0.0133436809460674
2020-04-16,0.0134384393063583
2020-04-17,0.0135137412693592
2020-04-20,0.0133555016671718
2020-04-21,0.0128891965501588
2020-04-22,0.0131403442548693
2020-04-23,0.0133687273823884
2020-04-24,0.0133825982236941
2020-04-27,0.0134174207124605
2020-04-28,0.0134793486417529
2020-04-29,0.0136675805243445
2020-04-30,0.0134273339317773
2020-05-04,0.0132906917675183
2020-05-05,0.0135729701492537
2020-05-06,0.0134693591654247
2020-05-07,0.0135459294537877
2020-05-08,0.0136029879589713
2020-05-11,0.0135873237345999
2020-05-12,0.0136560480284613
2020-05-13,0.0134991856677524
2020-05-14,0.013567223536369
2020-05-15,0.0135937250848959
2020-05-18,0.0137371276909466
2020-05-19,0.0138035051546391
2020-05-20,0.0140201470588235
2020-05-21,0.0140975620502276
2020-05-22,0.0139580375476679
2020-05-26,0.0141161710853962
2020-05-27,0.0141030134581626
2020-05-28,0.0142150913075237
2020-05-29,0.0141570615698861
2020-06-01,0.0144360338044586
2020-06-02,0.0145578081793043
2020-06-03,0.0146020781863101
2020-06-04,0.0144649492017416
2020-06-05,0.0145905638498333
2020-06-08,0.0146366242038216
2020-06-09,0.014575596356802
2020-06-10,0.0145645827317354
2020-06-11,0.0143145145000721
2020-06-12,0.0142811734179039
2020-06-16,0.0143559115069673
2020-06-17,0.0143444954786852
2020-06-18,0.0143018210496128
2020-06-19,0.0143602435530085
2020-06-22,0.0144805916821494
2020-06-23,0.0145279023275738
2020-06-24,0.0143897860199714
2020-06-25,0.0144770096921322
2020-06-26,0.0143340928510395
2020-06-29,0.0142521164772727
2020-06-30,0.0140461254612546
2020-07-01,0.0141242058990357
2020-07-02,0.0141745820345707
2020-07-03,0.0139875849377123
2020-07-06,0.013929553798362
2020-07-07,0.0140154931564837
2020-07-08,0.0140258669297998
2020-07-13,0.014148905109489
2020-07-14,0.0140718934081346
2020-07-15,0.0140963985426008
2020-07-16,0.01398681041725
2020-07-17,0.0139115137101287
2020-07-20,0.0140162991906223
2020-07-21,0.0141688510875627
2020-07-22,0.0140494984675397
2020-07-23,0.0140349387527839
2020-07-24,0.0139436300417246
2020-07-27,0.0139506936736958
2020-07-28,0.0137974494039367
2020-07-29,0.0137440858725761
2020-07-30,0.0136496540271242
2020-07-31,0.0134835591814159
2020-08-03,0.013646442360728
2020-08-04,0.013613476643241
2020-08-05,0.013701060313963
2020-08-06,0.0136259147180192
2020-08-07,0.0135551188676652
2020-08-10,0.0136098012337217
2020-08-11,0.0137269863013698
2020-08-12,0.0135862833675564
2020-08-13,0.0137125290657912
2020-08-14,0.0137041416074357
2020-08-18,0.0136571798365122
2020-08-19,0.0136773952095808
2020-08-20,0.0135334965320277
2020-08-21,0.0133713509105735
2020-08-24,0.013410809711108
2020-08-25,0.0132710879284649
2020-08-26,0.0132401299756295
2020-08-27,0.01332480389505
2020-08-28,0.0135044324324324
2020-08-31,0.0134791318414667
2020-09-01,0.0135799326599326
2020-09-02,0.0132847012917115
2020-09-03,0.0132855203011562
2020-09-04,0.0132786539494895
2020-09-07,0.0132060415271265
2020-09-08,0.0131282693079909
2020-09-09,0.0132729436939949
2020-09-10,0.0133191074291822
2020-09-11,0.0133142437591776
2020-09-14,0.0132887247071352
2020-09-15,0.0133465886421066
2020-09-16,0.0133506046511627
2020-09-17,0.0132870817843866
2020-09-18,0.0132324091270894
2020-09-21,0.0131079110993517
2020-09-22,0.0131369861202908
2020-09-23,0.0129946513470681
2020-09-24,0.0129922143045658
2020-09-25,0.0127801318391562
2020-09-28,0.0126444911911648
2020-09-29,0.0126560168155543
2020-09-30,0.0128806379627198
2020-10-01,0.0129300721311475
2020-10-02,0.0127923846653671
2020-10-05,0.0127864043630697
2020-10-06,0.012820835495589
2020-10-07,0.0127968616262482
2020-10-08,0.0129317079496822
2020-10-09,0.0130230848995463
2020-10-13,0.0129710060699987
2020-10-14,0.0128911202891068
2020-10-15,0.0128068800826126
2020-10-16,0.0128375515995872
2020-10-19,0.0128878576952822
2020-10-20,0.0129295957775489
2020-10-21,0.0130164758842443
2020-10-22,0.013066150102459
2020-10-23,0.0131118904390119
2020-10-26,0.0130735624840276
2020-10-27,0.0129641634738186
2020-10-28,0.0126703613842421
2020-10-29,0.0126500255427841
2020-10-30,0.0125846399387129
2020-11-02,0.0124076756894141
2020-11-03,0.0126225896363866
2020-11-04,0.0128577628748576
2020-11-05,0.0130078508217446
2020-11-09,0.0131172400756143
2020-11-10,0.0130626463552813
2020-11-11,0.0130096238520568
2020-11-12,0.0129509175465057
2020-11-13,0.0129143699059561
2020-11-16,0.0130976866324871
2020-11-17,0.0131221014492753
2020-11-18,0.0131745352464129
2020-11-19,0.0131063403089187
2020-11-20,0.0131187927815805
2020-11-24,0.0132401115241635
2020-11-25,0.0132279490035895
2020-11-26,0.0132154283595005
2020-11-27,0.0131571728136178
2020-11-30,0.0130849956954864
2020-12-01,0.0132005526218838
2020-12-02,0.0133088231684869
2020-12-03,0.0134284453163315
2020-12-04,0.0135369993876301
2020-12-09,0.0135370550950755
2020-12-10,0.0136688907829051
2020-12-11,0.0136749178932003
2020-12-14,0.0135394178289872
2020-12-15,0.0136272628135223
2020-12-16,0.0136312030985233
2020-12-17,0.0137199854914762
2020-12-18,0.0136062771607918
2020-12-21,0.0133783403487672
2020-12-22,0.0132125645645645
2020-12-23,0.0133352327255278
2020-12-28,0.0135657568533969
2020-12-29,0.013513353963342
2020-12-30,0.0134228163992869
2020-12-31,0.0134778490790255
2021-01-04,0.0134795395513577
2021-01-05,0.013519950477538
2021-01-06,0.013568354728536
2021-01-07,0.0135268
2021-01-08,0.0134644971804511
2021-01-11,0.0134236265667096
2021-01-12,0.0135699894699894
2021-01-13,0.0135724488603156
2021-01-14,0.0136734353106025
2021-01-15,0.013593130394215
2021-01-18,0.0135198884758364
2021-01-19,0.0135688899199628
2021-01-20,0.0136143485813549
2021-01-21,0.0135282309383315
2021-01-22,0.0132901813561279
2021-01-25,0.0132649712313003
2021-01-26,0.0132839117444265
2021-01-27,0.0132387211571576
2021-01-28,0.0131721903669724
2021-01-29,0.0131861216076949
2021-02-01,0.0131383561643835
2021-02-02,0.0131760319270239
2021-02-03,0.0131793507972665
2021-02-04,0.0132068137868274
2021-02-05,0.0134038409090909
2021-02-08,0.0134551434728365
2021-02-09,0.0135053025152957
2021-02-10,0.0135444431869624
2021-02-11,0.0135653024307518
2021-02-12,0.0135787440704766
2021-02-17,0.0135490330559928
2021-02-18,0.0135237480350325
2021-02-19,0.0135024792461296
2021-02-22,0.0134765291289276
2021-02-23,0.0134906846866971
2021-02-24,0.0135830842997323
2021-02-25,0.0134307855153203
2021-02-26,0.0133821309285237
2021-03-01,0.0134791763791763
2021-03-02,0.0135573377703826
2021-03-03,0.0135129890280394
2021-03-04,0.0135385424742496
2021-03-05,0.013461812548412
2021-03-08,0.0134341393397372
2021-03-09,0.0135278071917052
2021-03-10,0.0135788359788359
2021-03-11,0.0136466953073364
2021-03-12,0.0136310731975784
2021-03-15,0.0137095211948166
2021-03-16,0.0137279710303961
2021-03-17,0.0135360526315789
2021-03-18,0.0134930887185104
2021-03-19,0.013479816112084
2021-03-22,0.0133652833897564
2021-03-23,0.0131240178961152
2021-03-25,0.0131092513893429
2021-03-26,0.013162031794425
2021-03-29,0.0132195734958111
2021-03-30,0.0131630056546324
2021-03-31,0.0132154130434782
2021-04-05,0.0131003360797918
2021-04-06,0.0129526766363242
2021-04-07,0.0129832990360662
2021-04-08,0.0130299415457891
2021-04-09,0.0129197966248377
2021-04-12,0.0129306761719593
2021-04-13,0.0131762362340747
2021-04-14,0.0131777274198769
2021-04-15,0.0130807484900776
2021-04-16,0.0132007111302661
2021-04-19,0.0130848579423159
2021-04-20,0.0130065720124771
2021-04-21,0.0130464473825647
2021-04-22,0.0132266251208767
2021-04-23,0.0133382195017182
2021-04-26,0.0133433901576069
2021-04-27,0.0133507768134576
2021-04-28,0.0133671125856164
2021-04-29,0.0133841925133689
2021-04-30,0.0132990701154339
2021-05-03,0.0132965623999145
2021-05-04,0.0133463771209049
2021-05-05,0.0133576426666666
2021-05-06,0.0134761488431602
2021-05-07,0.0135511774107618
2021-05-10,0.0134761950388587
2021-05-11,0.0135106971793507
2021-05-12,0.0134112045115982
2021-05-13,0.0134926390809488
2021-05-14,0.0135160676307954
2021-05-17,0.0135304578774035
2021-05-18,0.0135512000849617
2021-05-19,0.0135750743099787
2021-05-20,0.0135915959252971
2021-05-21,0.0135855309218203
2021-05-26,0.0136004127857747
2021-05-27,0.0136124616523854
2021-05-28,0.0136502220812182
2021-05-31,0.0136209331785073
2021-06-01,0.0135915866145888
2021-06-02,0.0136612219056663
2021-06-03,0.013640829026474
2021-06-04,0.0137332279148218
2021-06-07,0.0137317961676142
2021-06-08,0.0138206504578465
2021-06-09,0.0138397054182009
2021-06-10,0.0139238565871096
2021-06-11,0.0138582255860401
2021-06-14,0.0138646404199475
2021-06-15,0.0138359496327387
2021-06-16,0.013856111635715
2021-06-17,0.0138133375275243
2021-06-18,0.013756212645486
2021-06-22,0.0137027961043041
2021-06-23,0.0137491678006908
2021-06-24,0.0138544217687074
2021-06-25,0.0138388598326359
2021-06-28,0.0138584596091545
2021-06-29,0.0137366628356493
2021-06-30,0.0136700898453823
2021-07-01,0.0136245300751879
2021-07-02,0.0136541914604864
2021-07-05,0.0136167083854818
2021-07-06,0.0134619539151287
2021-07-07,0.0133709193245778
2021-07-08,0.0133676945515157
2021-07-12,0.0134356228535747
2021-07-13,0.0134429151061173
2021-07-14,0.0134830802828618
2021-07-15,0.0134366188396756
2021-07-16,0.0135093119933485
2021-07-19,0.0133891184716021
2021-07-20,0.0134462424745692
2021-07-21,0.0135201432129514
2021-07-22,0.0135385022300591
2021-07-23,0.0135583281476872
2021-07-26,0.0135691319660244
2021-07-27,0.0135551724137931
2021-07-28,0.0135419728806541
2021-07-29,0.0136790252483443
2021-07-30,0.01367284103837
2021-08-02,0.0136957226986258
2021-08-03,0.0137014048135523
2021-08-04,0.0136725188474646
2021-08-05,0.0136841985757044
2021-08-06,0.0136221981424148
2021-08-09,0.0135833195876288
2021-08-10,0.0135254663506132
2021-08-11,0.0136078833470733
2021-08-12,0.0135971360873596
2021-08-13,0.0136614869735351
2021-08-17,0.0136022930591259
2021-08-18,0.0135401131105398
2021-08-19,0.0134532997532894
2021-08-20,0.0134542287534682
2021-08-23,0.0134904004106776
2021-08-24,0.013556069779374
2021-08-25,0.0135133668444809
2021-08-26,0.013474530913565
2021-08-27,0.0135883968839688
2021-08-30,0.0135996315627878
2021-08-31,0.0136438714958051
2021-09-01,0.0137111781550419
2021-09-02,0.0137125523867934
2021-09-03,0.0137560698957694
2021-09-06,0.0136912200102092
2021-09-07,0.0136513215634248
2021-09-08,0.0136535557596163
2021-09-09,0.0137048444671086
2021-09-10,0.0136675502089917
2021-09-13,0.013739474488237
2021-09-14,0.0137192852051725
2021-09-15,0.0138188905852417
2021-09-16,0.0137833468972533
2021-09-17,0.0137105734038226
2021-09-20,0.0135940686573227
2021-09-21,0.0137021935614908
